datetime,count
2011-01-20 00:00:00,12.066
2011-01-20 01:00:00,5.006
2011-01-20 02:00:00,3.468
2011-01-20 03:00:00,3.276
2011-01-20 04:00:00,2.786
2011-01-20 05:00:00,5.012
2011-01-20 06:00:00,35.808
2011-01-20 07:00:00,97.976
2011-01-20 08:00:00,204.546
2011-01-20 09:00:00,116.636
2011-01-20 10:00:00,58.73
2011-01-20 11:00:00,60.558
2011-01-20 12:00:00,82.25
2011-01-20 13:00:00,71.474
2011-01-20 14:00:00,77.392
2011-01-20 15:00:00,82.446
2011-01-20 16:00:00,92.924
2011-01-20 17:00:00,185.13
2011-01-20 18:00:00,170.608
2011-01-20 19:00:00,98.764
2011-01-20 20:00:00,73.752
2011-01-20 21:00:00,46.776
2011-01-20 22:00:00,43.396
2011-01-20 23:00:00,21.974
2011-01-21 00:00:00,17.31
2011-01-21 01:00:00,5.934
2011-01-21 02:00:00,4.916
2011-01-21 03:00:00,3.034
2011-01-21 04:00:00,2.076
2011-01-21 05:00:00,3.898
2011-01-21 06:00:00,34.118
2011-01-21 07:00:00,97.69
2011-01-21 08:00:00,185.88
2011-01-21 09:00:00,124.958
2011-01-21 10:00:00,51.786
2011-01-21 11:00:00,60.29
2011-01-21 12:00:00,67.262
2011-01-21 13:00:00,67.626
2011-01-21 14:00:00,65.686
2011-01-21 15:00:00,61.316
2011-01-21 16:00:00,78.42
2011-01-21 17:00:00,142.168
2011-01-21 18:00:00,140.258
2011-01-21 19:00:00,99.188
2011-01-21 20:00:00,64.298
2011-01-21 21:00:00,40.448
2011-01-21 22:00:00,32.688
2011-01-21 23:00:00,19.506
2011-01-22 00:00:00,30.092
2011-01-22 01:00:00,15.726
2011-01-22 02:00:00,12.978
2011-01-22 03:00:00,7.474
2011-01-22 04:00:00,3.108
2011-01-22 06:00:00,5.426
2011-01-22 07:00:00,15.72
2011-01-22 08:00:00,26.454
2011-01-22 09:00:00,33.14
2011-01-22 10:00:00,54.802
2011-01-22 11:00:00,59.264
2011-01-22 12:00:00,68.938
2011-01-22 13:00:00,80.744
2011-01-22 14:00:00,76.01
2011-01-22 15:00:00,76.436
2011-01-22 16:00:00,75.052
2011-01-22 17:00:00,79.91
2011-01-22 18:00:00,60.842
2011-01-22 19:00:00,42.6
2011-01-22 20:00:00,41.518
2011-01-22 21:00:00,38.842
2011-01-22 22:00:00,31.86
2011-01-22 23:00:00,14.756
2011-01-23 00:00:00,30.18
2011-01-23 01:00:00,17.854
2011-01-23 02:00:00,14.416
2011-01-23 03:00:00,11.324
2011-01-23 05:00:00,3.38
2011-01-23 06:00:00,2.1
2011-01-23 07:00:00,13.29
2011-01-23 08:00:00,22.186
2011-01-23 09:00:00,25.214
2011-01-23 10:00:00,51.642
2011-01-23 11:00:00,61.25
2011-01-23 12:00:00,65.838
2011-01-23 13:00:00,64.21
2011-01-23 14:00:00,71.104
2011-01-23 15:00:00,71.192
2011-01-23 16:00:00,75.324
2011-01-23 17:00:00,66.278
2011-01-23 18:00:00,65.896
2011-01-23 19:00:00,43.44
2011-01-23 20:00:00,31.96
2011-01-23 21:00:00,28.09
2011-01-23 22:00:00,19.524
2011-01-23 23:00:00,13.88
2011-01-24 00:00:00,10.726
2011-01-24 01:00:00,4.37
2011-01-24 03:00:00,2.474
2011-01-24 04:00:00,2.642
2011-01-24 05:00:00,4.856
2011-01-24 06:00:00,24.278
2011-01-24 07:00:00,84.058
2011-01-24 08:00:00,159.376
2011-01-24 09:00:00,111.6
2011-01-24 10:00:00,51.136
2011-01-24 11:00:00,43.046
2011-01-24 12:00:00,49.99
2011-01-24 13:00:00,47.608
2011-01-24 14:00:00,45.372
2011-01-24 15:00:00,57.08
2011-01-24 16:00:00,68.126
2011-01-24 17:00:00,137.816
2011-01-24 18:00:00,136.738
2011-01-24 19:00:00,93.644
2011-01-24 20:00:00,64.34
2011-01-24 21:00:00,44.444
2011-01-24 22:00:00,27.376
2011-01-24 23:00:00,18.356
2011-01-25 00:00:00,8.736
2011-01-25 01:00:00,3.656
2011-01-25 02:00:00,1.976
2011-01-25 04:00:00,1.936
2011-01-25 05:00:00,3.932
2011-01-25 06:00:00,33.172
2011-01-25 07:00:00,78.946
2011-01-25 08:00:00,149.938
2011-01-25 09:00:00,112.914
2011-01-25 10:00:00,56.192
2011-01-25 11:00:00,58.046
2011-01-25 12:00:00,68.482
2011-01-25 13:00:00,71.04
2011-01-25 14:00:00,73.434
2011-01-25 15:00:00,76.232
2011-01-25 16:00:00,94.03
2011-01-25 17:00:00,192.596
2011-01-25 18:00:00,182.462
2011-01-25 19:00:00,112.364
2011-01-25 20:00:00,77.452
2011-01-25 21:00:00,46.328
2011-01-25 22:00:00,37.896
2011-01-25 23:00:00,16.728
2011-01-26 00:00:00,9.18
2011-01-26 01:00:00,4.728
2011-01-26 02:00:00,3.202
2011-01-26 05:00:00,3.12
2011-01-26 06:00:00,24.94
2011-01-26 07:00:00,67.134
2011-01-26 08:00:00,142.664
2011-01-26 09:00:00,83.744
2011-01-26 10:00:00,45.406
2011-01-26 11:00:00,42.202
2011-01-26 12:00:00,45.454
2011-01-26 13:00:00,48.59
2011-01-26 14:00:00,48.886
2011-01-26 15:00:00,46.988
2011-01-26 16:00:00,59.742
2011-01-26 17:00:00,110.316
2011-01-27 16:00:00,79.69
2011-01-27 17:00:00,158.526
2011-01-27 18:00:00,136.712
2011-01-27 19:00:00,96.474
2011-01-27 20:00:00,76.004
2011-01-27 21:00:00,46.082
2011-01-27 22:00:00,38.914
2011-01-27 23:00:00,20.188
2011-01-28 00:00:00,13.922
2011-01-28 01:00:00,6.494
2011-01-28 02:00:00,2.168
2011-01-28 03:00:00,2.028
